Gamers:,,,,Scratched,Tanglebones,DF7,Podunk,trueheart78,conejote,mr_n00b,liquid,MilkmanDanimal,Jayhawker,jollyeskimo,LockAndLoad,Vector,SallyNasty,Aaron D.,CptGlanton,DudleySmith,Blind_Evil,nel e nel,Farscry,Thowky,FedoraMcQuaid,OzymandiasAV,Mex,Hobbes2099,Hyetal,Jeff-66,imbiginjapan,Nevin73,gregrampage,billt721,iaintgotnopants,Jonman,EriktheRed,muttonchop,juv3nal,Parallax Abstraction,ahrezmendi,DSGamer,ccesarano,Scaphism,MeatMan,zeroKFE,AnjinM,Stylez,Strangeblades,easy sunday,TrashiDawa,Nightmare,Spunior,Latrine,Dyni,Grubber788,silentsod,Deadmonkeys,Dysplastic,Mr GT Chris,Budo,BishopRS,Oso,MadGav,ChrisGwinn,Gravey,Serenj,IUMogg,Thewnos,philucifer,Redwing,Squee9,TempestBlayze,kergguz,AcidCat,Lobiency,dimmerswitch,tuffalobuffalo,kincher skolfax,Rubb Ed,Bnice,Hypatian,D_Davis,EvilDead,Thin_J,mooosicle,oilypenguin,Ariskany Evan,jdzappa,Hollowheel,mateofalcone,Stengah,Happytime Harry,Bullion Cube,garion333,Gimpy_Butzke,mudbunny,ChipRMonk,hbi2k,stevenmack,Dryden,AnimeJ,AP Erebus,Pacman,Running Man,kaptainbarbosa,dejanzie,mrtomaytohead,demonbox,Malor,MrDeVil909,Th3 Space Pope,Trophy Husband,doubtingthomas396,NauticaLNaughT,Wakim,heavyfeul,4dSwissCheese,Atomicvideohead,Vrikk,Coolbeans,Maltandbagels,Rykin,Aristophan,RoyalApe,Dominic Knight,angelstomp,,honeycut1,Minarchist,ClockworkHouse,Lex Cayman,Phishposer,Mr Eko,Cragmyre,mrwynd,Gunner,Higgledy,jennscoots,CEJ,Elysium,Ego Man,subaltern,shoptroll,Dramatic Marlin,4xis.black,Baron of Hell,django,Alien Love Gardener,mateo,Veloxi,cyrax,jam3
Title,Weighted Score,Total Votes,#1 Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Rogues,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9 Hours, 9 Persons, 9 Doors",3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
Alan Wake,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Alice: Madness Returns,11,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Alpha Protocol,13,3,0,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amnesia: The Dark Descent,34,7,0,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,,,,,
Anno 2070,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army of Darkness,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
Ascension,10,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,
Assassin's Creed,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassin's Creed 2,22,4,0,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassin's Creed: Brotherhood,72,15,0,8,,,,5,6,10,,,9,,,,,,,,,,,,,,,,,3,,6,,,,,,,5,,,,,,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Assassin's Creed: Revelations,24,4,0,,,,,,,,,,,,,,,,,,,7,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Atom Zombie Smasher,30,7,0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,7,,,,,,
Back to the Future,12,3,0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
