Gamers:,,,,oilypenguin,Demyx,S0LIDARITY,Bonus_Eruptus,Feegle,Aaron D.,sometimesdee,psoplayer,Squee9,Blind_Evil,muttonchop,mrtomaytohead,Jasonofindy,zeroKFE,tetranomad,Farscry,krev82,iaintgotnopants,SixteenBlue,MadGav,mateofalcone,Tanglebones,brokenclavicle,Jeff-66,Malor,Hyetal,JohnKillo,DonD,PandaEskimo,DSGamer,sithload,Eldon_of_Azure,Nicholaas,troubleshot,carrotpanic,TempestBlayze,Jonman,MyBrainHz,stevenmack,eberstad,CEJ,Trashie,Shadout,MilkmanDanimal,Dryden,arogan,conejote,Eleima,Tetnis,philucifer,Mr GT Chris,CptDomano,Carlbear95,Atomicvideohead,silentsod,shoptroll,kexx,Yoyoson,bombsfall,kuddles,jdzappa,Fastmav347,danopian,Stengah,Coolbeans,ClockworkHouse,tuffalobuffalo,walterqchocobo,erdahs,MrDeVil90,KillTrash,TrashiDawa,ccessarano,MrAndrewJ,EverythingsTentative,Mantid,Sonicator,tboon,IHateDRM,clever id,Infyrnos,ThingumBob,WolverineJon,gravity,Deadmonkeys,nel e nel,garion333,Garrcia,Kamakazi010654,mr_n00b,Lex Cayman,McIrishJihad,SpacePPoliceman,Podunk,Fseven,McChuck,Metatron,Bnice,Cronox,FedoraMcQuaid,4xis.black,Spikeout,Latrine,Kosars,Le0hart85,Aristophan,TheHarpoMarxist,bjr225,Garden Ninja,Parallax Abstraction,RnRClown,kyrieee,Serenj,beeporama,Slumberland,AndrewA,PewPewRobo,Stele,billt721,El-Producto,4dSwissCheese,Sonrics,,Certis,Kyekye,Speedhuntr,cheeba,spider_j,MeatMan,Vector,Exzyleph,BadKen,Budo,Dyni,Baron of Hell,kergguz,Luggage,kstress71,Alien Love Gardener,Roke,mwdowns,Aus_TBirD,OzymandiasAV,Gravey,Grimmi Meloni,Minarchist,ShinGnosis,foxua,Gunner,Bonus_Eruptus,Wr3nch,cyrax,PeterS,Fedaykin98
Title,Weighted Score,Total Votes,#1 Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000000,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
30 Flights of Loving,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868-HACK,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Aarklash: Legacy,3,1,0,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace of Spades,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Patrol,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amnesia: A Machine for Pigs,13,3,0,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Amnesia: Dark Descent,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Analogue: A Hate Story,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
