Rank,Title,Score,Total Votes,#1 Votes,Average Score
1,Rocket League,440,52,23,8.5
2,The Witcher 3: Wild Hunt,426,50,24,8.5
3,Fallout 4,367,51,16,7.2
4,Bloodborne,289,35,11,8.3
5,Metal Gear Solid V: The Phantom Pain,248,36,2,6.9
6,Cities: Skylines,171,26,0,6.6
7,Life Is Strange,164,24,3,6.8
8,Pillars of Eternity,159,27,3,5.9
9,Dragon Age: Inquisition,140,19,7,7.4
10,Super Mario Maker,136,19,5,7.2
11,Her Story,128,23,1,5.6
12,Undertale,102,14,4,7.3
13,Splatoon,100,12,4,8.3
14,Destiny/Destiny: The Taken King,86,16,1,5.4
15,Ori and the Blind Forest,85,16,1,5.3
16,Heroes of the Storm,83,14,1,5.9
17,Tales from the Borderlands,75,12,2,6.3
18,Monster Hunter 4 Ultimate,73,11,3,6.6
19,Xenoblade Chronicles X,68,11,1,6.2
20,Rise of the Tomb Raider,67,10,0,6.7
21,SOMA,67,9,2,7.4
22,The Beginner's Guide,62,12,1,5.2
23,"Invisible, Inc.",62,13,0,4.8
24,Middle-earth: Shadow of Mordor,60,12,0,5
25,Dark Souls II/Scholar of the First Sin,59,9,1,6.6
26,Alien: Isolation,57,8,0,7.1
27,Batman: Arkham Knight,55,13,0,4.2
28,Star Wars: Battlefront,54,9,0,6
29,The Talos Principle,54,11,1,4.9
30,Dying Light,52,11,0,4.7
31,StarCraft II/Legacy of the Void,49,8,0,6.1
32,Elite: Dangerous,48,7,1,6.9
33,Dishonored,48,7,0,6.9
34,Tearaway/Tearaway Unfolded,48,6,0,8
35,Nuclear Throne,48,7,0,6.9
36,Just Cause 3,46,7,0,6.6
37,Halo 5: Guardians,43,7,1,6.1
38,Until Dawn,43,8,0,5.4
39,Helldivers,39,7,0,5.6
40,The Last of Us/Remastered/Left Behind,38,5,2,7.6
41,Diablo III,35,7,0,5
42,Assassin's Creed: Syndicate,31,9,0,3.4
43,Axiom Verge,31,5,1,6.2
44,Transistor,30,4,0,7.5
45,Yoshi's Wooly World,30,6,0,5
46,Yo-Kai Watch,30,3,3,10
47,Wolfenstein: The New Order,29,7,0,4.1
48,Far Cry 4,29,8,1,3.6
49,Divinity: Original Sin,29,4,0,7.3
50,Call of Duty: Black Ops III,28,5,1,5.6
51,Sunless Sea,27,5,1,5.4
52,Star Wars: The Old Republic/Knights of the Fallen Empire,27,4,1,6.8
53,Fallout Shelter,26,4,0,6.5
54,Grow Home,26,5,0,5.2
55,Crypt of the Necrodancer,25,5,0,5
56,Hearthstone,25,3,2,8.3
57,Infamous: Second Son,25,3,0,8.3
58,Child of Light,24,3,0,8
59,Darkest Dungeon,24,6,0,4
60,Valiant Hearts: The Great War,24,4,0,6
61,Final Fantasy XIV/Heavensward,23,5,0,4.6
62,Etrian Odyssey Untold 2: The Knight Of Fafnir,23,3,0,7.7
63,Dragon Age II,23,4,0,5.8
64,Shadowrun: Dragonfall,22,5,0,4.4
65,South Park: The Stick of Truth,22,3,0,7.3
66,XCOM: Enemy Unknown/Enemy Within/Long War,22,3,1,7.3
67,Gone Home,22,3,0,7.3
68,The Wolf Among Us,21,5,0,4.2
69,Fire Emblem: Awakening,21,3,0,7
70,Code Name S.T.E.A.M.,20,3,0,6.7
71,Smite,20,3,0,6.7
72,Bioshock Infinite,20,3,0,6.7
73,Guild Wars 2/Heart of Thorns,19,4,0,4.8
74,Nobunaga's Ambition: Sphere of Influence,19,2,1,9.5
75,Grand Theft Auto V,18,4,0,4.5
76,Mad Max,18,4,0,4.5
77,Saint's Row: Gat Out of Hell,18,3,0,6
78,Rebel Galaxy,18,5,0,3.6
79,Infinifactory,18,4,0,4.5
80,Dungeon of the Endless,18,2,0,9
81,Plants vs. Zombies: Garden Warfare,17,2,0,8.5
82,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",17,3,0,5.7
83,Rainbow Six: Siege,17,2,0,8.5
84,Lovers in a Dangerous Spacetime,17,2,0,8.5
85,Infamous: First Light,17,4,0,4.3
86,Endless Legend,16,4,0,4
87,Murdered: Soul Suspect,16,4,0,4
88,Saint's Row IV,16,2,0,8
89,Star Wars: Galaxy of Heroes,15,2,0,7.5
90,Massive Chalice,15,3,0,5
91,Assassin's Creed: Rogue,15,2,1,7.5
92,Gravity Rush,15,2,1,7.5
93,Super Mario 3D World,15,3,0,5
94,Shovel Knight,15,3,0,5
95,Flame Over,14,2,0,7
96,Mortal Kombat X,14,2,0,7
97,You Must Build a Boat,14,4,0,3.5
98,Chaos Reborn,14,4,0,3.5
99,Never Alone,14,4,0,3.5
100,Shadowrun: Hong Kong,14,2,0,7
101,Hotline Miami 2: Wrong Number,14,4,0,3.5
102,Assassin’s Creed: Syndicate,14,2,0,7
103,Metal Gear Solid: Peace Walker,14,2,0,7
104,The Jackbox Party Pack,13,2,0,6.5
105,Shadowrun Returns,13,2,0,6.5
106,Downwell,13,4,0,3.3
107,Pro Evolution Soccer 2016,13,2,1,6.5
108,Disney Infinity 3.0,13,2,0,6.5
109,Kerbal Space Program,13,2,0,6.5
110,Earthbound,12,2,1,6
111,Company of Heroes II,12,3,0,4
112,Shadow Complex,12,2,0,6
113,Kingdom,12,2,0,6
114,Resogun,12,3,0,4
115,The Unfinished Swan,12,2,0,6
116,Attila: Total War,12,2,0,6
117,Forza Motorsport 6,11,3,0,3.7
118,Hacknet,11,2,0,5.5
119,World of Warships,11,2,0,5.5
120,Fallout: New Vegas,11,2,0,5.5
121,The Walking Dead: Season 2,11,2,0,5.5
122,SteamWorld Heist,11,2,0,5.5
123,Captain Toad: Treasure Tracker,11,3,0,3.7
124,Project Gorgon,10,1,1,10
125,Elliot Quest,10,1,1,10
126,DiRT Rally,10,1,1,10
127,Farming Simulator 2015,10,1,1,10
128,TIS-100,10,2,0,5
129,P.T.,10,1,1,10
130,Dota 2,10,1,1,10
131,80 Days,10,2,0,5
132,Offworld Trading Company,10,2,0,5
133,CounterSpy,10,2,0,5
134,Wolf Among Us,10,2,0,5
135,Broforce,10,1,1,10
136,Valiant Hearts,10,2,0,5
137,Android: Netrunner,10,1,1,10
138,Total War: Attila,10,1,1,10
139,Final Fantasy VII,10,2,0,5
140,Resident Evil: Revelations 2,10,3,0,3.3
141,Lego Dimensions,10,1,1,10
142,Hotline Miami Vita,10,1,1,10
143,Dungeon Boss,10,1,1,10
144,Demon's Souls,10,1,1,10
145,Metroid Prime,10,1,1,10
146,Geometry Wars 3: Dimensions Evolved,10,1,1,10
147,Final Fantasy XII,10,1,1,10
148,Europa Universalis 4: Common Sense,10,1,1,10
149,Skyrim,10,1,1,10
150,Assassin's Creed,9,1,0,9
151,Anno 2205,9,2,0,4.5
152,Grey Goo,9,2,0,4.5
153,Technobabylon,9,1,0,9
154,Lara Croft Go,9,2,0,4.5
155,Mass Effect 2,9,1,0,9
156,Gray Matter,9,1,0,9
157,Drive Club,9,1,0,9
158,Guilty Gear Xrd -SIGN-,9,1,0,9
159,Gravity Ghost,9,2,0,4.5
160,Shadows of Mordor,9,1,0,9
161,Persona 4,9,1,0,9
162,Legend of Zelda: Majora's Mask 3D,9,1,0,9
163,Metal Gear Solid,9,1,0,9
164,Hyrule Warriors,9,2,0,4.5
165,Mass Effect 3,9,2,0,4.5
166,Donkey Kong Country: Tropical Freeze,9,1,0,9
167,XCOM: Enemy Unknown,9,1,0,9
168,Danganronpa: Trigger Happy Havoc,9,1,0,9
169,Baldur's Gate: Enhanced Edition,9,1,0,9
170,Total War: Rome II,9,1,0,9
171,Art Academy,8,2,0,4
172,TowerFall: Dark World,8,2,0,4
173,Lyne,8,1,0,8
174,The Order: 1886,8,4,0,2
175,Trivia Crack,8,1,0,8
176,Thomas Was Alone,8,1,0,8
177,Grand Theft Auto Online,8,1,0,8
178,Valhalla Hills,8,1,0,8
179,Planetbase,8,3,0,2.7
180,Tales of Graces F,8,1,0,8
181,King’s Quest Chapter 1,8,1,0,8
182,Boxboy,8,2,0,4
183,Legend of Grimrock 2,8,2,0,4
184,Tansistor,8,1,0,8
185,King's Quest Chapter 1,8,1,0,8
186,Everybody's Gone to the Rapture,8,3,0,2.7
187,Home,8,1,0,8
188,A Story About My Uncle,8,1,0,8
189,Freedom Wars,8,2,0,4
190,Duck Game,8,1,0,8
191,Big Pharma,8,2,0,4
192,FEZ,8,1,0,8
193,ARK,8,1,0,8
194,Arcana Heart 3: LOVE MAX!!!!!!,8,1,0,8
195,Party Hard,8,1,0,8
196,Rainbow Moon,8,1,0,8
197,Guild of Dungeoneering,8,3,0,2.7
198,Prison Architect,8,2,0,4
199,The Fall,8,2,0,4
200,Sunset Overdrive,8,1,0,8
201,Titanfall,8,2,0,4
202,Gems of War,8,1,0,8
203,Order of Battle: Pacific,8,1,0,8
204,Rule the Waves,8,1,0,8
205,Xenoblade Chronicles 3D,8,1,0,8
206,Gwent,8,1,0,8
207,Banjo Kazooie,8,1,0,8
208,Psychonauts,8,2,0,4
209,Runbow,8,1,0,8
210,The Book of Unwritten Tales,8,1,0,8
211,The Sims: Medieval,8,1,0,8
212,Toren,8,1,0,8
213,Fast Racing NEO,8,1,0,8
214,Crossy Road,8,1,0,8
215,Yoshi’s Wooly World,8,1,0,8
216,Persona 4: Dancing All Night,7,1,0,7
217,Energy Balance,7,1,0,7
218,Hatoful Boyfriend,7,1,0,7
219,Shin Megami Tensei 4,7,1,0,7
