"Game","Nearest"
"1,000 Amps","10,000,000 ; 10000000"
"10,000,000","10000000"
"100 Rogues","1,000 Amps ; 10000000 ; 80 Days ; Dark Souls ; DLC Quest ; Infamous ; LA Noire ; Rage ; Resogun ; Reus"
"10000000","10,000,000"
"140","999 ; Fez ; FEZ ; FTL ; Ico ; SSX ; Way"
"30 Flights of Loving","Thirty Flights of Loving"
"7th Dragon","80 Days ; Bus Driver ; Watch Dogs"
"80 Days","Day Z ; Slay ; Way"
"868-HACK","80 Days ; ARMA 3 ; DOTA 2 ; DOTA2"
"9 Hours, 9 Persons, 9 Doors","Persona 3 FES ; Persona 4 Golden"
"999","140 ; Fez ; FEZ ; FTL ; Ico ; SSX ; Way"
"Aarklash: Legacy","Halo: Reach ; Rogue Legacy"
"Ace Attorney: Dual Destinities","Phoenix Wright Ace Attorney: Dual Destinies"
"Ace of Spades","Age of Wonders 3 ; Rock of Ages"
"Ace Patrol","Ascension ; Dance Central ; Terraria"
"Age of Decadence, The","Age of Wonders 3"
"Age of Wonders 3","Ace of Spades"
"Alan Wake","Year Walk"
"Alice: Madness Returns","Black Mesa Source ; Shadowrun Returns"
"Alien: Isolation","Hitman: Absolution ; Trials: Evolution"
"Alpha Protocol","Ace Patrol"
"Amnesia: A Machine for Pigs","Amnesia: Dark Descent"
"Amnesia: Dark Descent","Amnesia: The Dark Descent"
"Amnesia: The Dark Descent","Amnesia: Dark Descent"
"Analogue: A Hate Story","Game Dev Story ; Halo: Anniversary ; Heroes of the Storm ; Mega Mall Story ; Vagrant Story"
"Angry Birds Star Wars","Empire: Total War"
"Animal Crossing: New Leaf","Fallout: New Vegas"
"Anno 2070","F1 2012 ; Metro 2033"
"Antichamber","Witcher"
"ARMA 3","Doom 3 ; DOTA 2 ; FIFA 13"
"Army of Darkness","Darkness"
"Ascension","Bastion ; Factorio ; Jamestown"
"Ascension: Darkness Unleashed","Amnesia: Dark Descent"
"Aselia the Eternal","Feed the Beast ; War in the East"
"Assassin's Creed","Assassin's Creed 2 ; Assassin's Creed 3"
"Assassin's Creed 2","Assassin's Creed 3"
"Assassin's Creed 3","Assassin's Creed 2"
"Assassin's Creed 3: Liberation","Assassin's Creed: Revelations"
"Assassin's Creed III","Assassin's Creed 2 ; Assassin's Creed 3"
"Assassin's Creed IV: Black Flag","Assassin's Creed 3: Liberation"
"Assassin's Creed Unity","Assassin's Creed 2 ; Assassin's Creed 3 ; Assassin's Creed III"
"Assassin's Creed: Brotherhood","Assassin's Creed: Revelations"
"Assassin's Creed: Revelations","Assassin's Creed 3: Liberation"
"Asura's Wrath","Alan Wake ; Baldur's Gate"
"Atelier Totori","Atelier Totori Plus"
"Atelier Totori Plus","Atelier Totori"
"Atom Zombie Smasher","Zombie Shooter 2"
"Awesomenauts","Outernauts ; Psychonauts ; Resonance"
"Back to the Future","Back to the Future: The Game ; Fall of the Samurai ; Mark of the Ninja"
"Back to the Future: The Game","Back to the Future"
"Baldur's Gate","Hand of Fate"
"Ball, The","Fall, The"
"Banished","Braid ; Risen ; Vanquish"
